TITLE     = "Surface"
VARIABLES = "X"
"cp"
ZONE T="Slice: Y=0.631667"
 STRANDID=2, SOLUTIONTIME=664.516175
 I=797, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 5.829145908E-01 -5.781676620E-02
 5.835762024E-01 -5.772593617E-02
 5.879396796E-01 -5.711490661E-02
 5.886012912E-01 -5.700117722E-02
 5.929648280E-01 -5.626010150E-02
 5.936264396E-01 -5.616590381E-02
 5.979899764E-01 -5.554393679E-02
 5.986515880E-01 -5.548509955E-02
 6.030150652E-01 -5.508888513E-02
 6.036766768E-01 -5.502516031E-02
 6.080402136E-01 -5.461476371E-02
 6.087018251E-01 -5.445387214E-02
 6.130653024E-01 -5.339517072E-02
 6.137269139E-01 -5.327601731E-02
 6.180904508E-01 -5.248520151E-02
 6.187520623E-01 -5.237996206E-02
 6.231155992E-01 -5.169411004E-02
 6.237772107E-01 -5.158982798E-02
 6.281406879E-01 -5.089683458E-02
 6.288022995E-01 -5.078289658E-02
 6.331658363E-01 -5.003049597E-02
 6.338274479E-01 -4.990129173E-02
 6.381909251E-01 -4.905688018E-02
 6.388525367E-01 -4.896890745E-02
 6.432160735E-01 -4.837930202E-02
 6.438776851E-01 -4.823480174E-02
 6.482412219E-01 -4.728974402E-02
 6.489028335E-01 -4.720163718E-02
 6.532663107E-01 -4.662531242E-02
 6.539279222E-01 -4.647278786E-02
 6.582914591E-01 -4.545842856E-02
 6.589530706E-01 -4.533356801E-02
 6.633166075E-01 -4.452063888E-02
 6.639782190E-01 -4.438997433E-02
 6.683416963E-01 -4.352061078E-02
 6.690033078E-01 -4.336155578E-02
 6.733668447E-01 -4.231321812E-02
 6.740284562E-01 -4.215003178E-02
 6.783919334E-01 -4.108211771E-02
 6.790535450E-01 -4.096376896E-02
 6.834170818E-01 -4.017296061E-02
 6.840786934E-01 -4.002955183E-02
 6.884422302E-01 -3.909277543E-02
 6.891038418E-01 -3.896702453E-02
 6.934673190E-01 -3.813460469E-02
 6.941289306E-01 -3.798706457E-02
 6.984924674E-01 -3.701616824E-02
 6.991540790E-01 -3.684318438E-02
 7.035176158E-01 -3.570513427E-02
 7.041792274E-01 -3.553761169E-02
 7.085427046E-01 -3.442370892E-02
